Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
TRE_WEST_naturalgas_ctavgcf_moderate_0,3,0.0,0.0016975464762435724,0.005981096834738991,0.0050245366510576605,100.0,0.0,8.299477656526162e-6,4.361063206551878e-5,1.6975464762435723e-5,5.113498124148034e-5,3.4045030228705474e-5
TRE_WEST_battery_moderate_0,3,0.0,0.12586911598384548,0.3685520095495185,0.8861858208048191,1.0,0.0,0.004334893263909781,0.1323472825935157,0.12586911598384548,0.24701778682958275,0.6499810938488164
TRE_WEST_nuclear_nuclear_moderate_0,3,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_hydrogen_ctavgcf_moderate_0,3,0.0,0.0015850178365266635,0.005536509789855404,0.00455730080720176,100.0,0.0,7.722250721907186e-6,4.0458189059576925e-5,1.5850178365266634e-5,4.723717025519458e-5,3.0666099233040466e-5
TRE_WEST_hydrogen_ccavgcf_moderate_0,3,0.0,0.0013106581371506725,0.004674325180040147,0.0039174652577362275,500.0,0.0,1.2736742269807308e-6,6.786525123587142e-6,2.621316274301345e-6,8.001008312759677e-6,5.2728052789793035e-6
TRE_WEST_landbasedwind_class3_moderate_0,3,0.0,0.010622740813184876,0.03647780922970679,0.10973341303566303,1.0,0.0,0.0012253451241602017,0.01355654057492894,0.010622740813184876,0.027080413540682115,0.08681214438088516
TRE_WEST_landbasedwind_class3_moderate_1,3,0.0,954.3733961036896,956.0022376182417,4376.388416660588,1.0,0.0,0.0015503048263298884,954.3757500486536,954.3733961036896,1.6303918193782434,4374.761929090999
TRE_WEST_landbasedwind_class3_moderate_2,3,0.0,0.006167684665631791,0.025027798379137635,0.05104146830551375,1.0,0.0,0.001050864927253723,0.012190997641010972,0.006167684665631791,0.019910978640759566,0.03820466756738709
TRE_WEST_landbasedwind_class3_moderate_3,3,0.0,0.003479686585028712,0.015966991451076988,0.02332535819271231,1.0,0.0,0.0009077131446949991,0.010431066322560377,0.003479686585028712,0.013395018010743276,0.017789433064195698
TRE_WEST_landbasedwind_class3_moderate_4,3,0.0,0.0006125296335996414,0.0019002043132678524,0.001967786587211867,1.0,0.0,0.0002307010123814467,0.001245723553188478,0.0006125296335996414,0.0015183756920496578,0.0013133058271324926
TRE_WEST_landbasedwind_class3_moderate_5,3,0.0,0.003509520076328359,0.017906461837510605,0.016757953340038025,1.0,0.0,0.0010704826042799067,0.013219314677359692,0.003509520076328359,0.015467424365462154,0.012070806179887116
TRE_WEST_utilitypv_class1_moderate_0,3,0.0,6986.767646456926,8333.942676333683,11843.400632112229,1.0,0.0,0.001864571376764581,6986.770545417701,6986.767646456926,1347.176894448135,10496.228501196247
TRE_WEST_utilitypv_class1_moderate_1,3,0.0,0.081385684724994,0.21692747489632508,0.3619749409504074,1.0,0.0,0.0016203653784467235,0.0841660269078919,0.081385684724994,0.1371621555497778,0.22921349296197424
TRE_WEST_utilitypv_class1_moderate_2,3,0.0,0.011381409372091216,0.029334739483916624,0.0372419975143608,1.0,0.0,0.001261222676152282,0.014546699072108385,0.011381409372091214,0.019214552787977686,0.022453957102552567
TRE_WEST_utilitypv_class1_moderate_3,3,0.0,0.010967006994898207,0.02899104742894397,0.04517397508896621,1.0,0.0,0.0013463943166675744,0.014548285949436343,0.010967006994898207,0.019370434750713338,0.030731213609458574
TRE_WEST_utilitypv_class1_moderate_4,3,0.0,0.005206091470683988,0.014892789168731015,0.016954662647341093,1.0,0.0,0.0010652570980514316,0.008351800608026035,0.005206091470683988,0.010751954796098459,0.010413674086636116
TRE_WEST_utilitypv_class1_moderate_5,3,0.0,0.0054070642825501695,0.015358067321567291,0.022397910526846778,1.0,0.0,0.0010204993418629505,0.008310405502309902,0.005407064282550169,0.010971502380880072,0.015350248707589387
